"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","civil_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"no checking",12,"dully paid","radio/tv",1934,"between 500 and 999","more than 7 years",2,"male","single","individual",2,"no collateral",26,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",27,"duly paying","business",8318,"between 500 and 999","more than 7 years",2,"female","unspecified","individual",4,"no collateral",42,"no debt","free use",2,"highly qualified",1,"yes","yes","bad"
"no checking",6,"dully paid","radio/tv",1237,"less than 100","less than 4 years",1,"female","unspecified","individual",1,"life insurance",27,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",6,"delayed","radio/tv",368,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"life insurance",38,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",12,"dully paid","new car",2122,"between 500 and 999","less than 4 years",3,"male","single","individual",2,"real estate",39,"no debt","rented",2,"unskilled res",2,"no","no","good"
"negative",24,"delayed","furniture/equipment",2996,"between 100 and 499","less than 4 years",2,"male","married/widowed","individual",4,"vehicle",20,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",36,"delayed","furniture/equipment",9034,"less than 100","less than 1 year",4,"male","single","co-aplicant",1,"no collateral",29,"no debt","rented",1,"highly qualified",1,"yes","yes","bad"
"no checking",24,"dully paid","furniture/equipment",1585,"between 500 and 999","less than 7 years",4,"male","single","individual",3,"life insurance",40,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",18,"delayed","radio/tv",1301,"between 500 and 999","more than 7 years",4,"male","married/widowed","guaranteed",2,"real estate",32,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"more than or = 200",6,"dully paid","new car",1323,"less than 100","more than 7 years",2,"male","divorced","individual",4,"vehicle",28,"no debt","owned",2,"skilled",2,"yes","yes","good"
"negative",24,"delayed","new car",3123,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"life insurance",27,"no debt","owned",1,"skilled",1,"no","yes","bad"
"negative",36,"delayed","used car",5493,"between 500 and 999","more than 7 years",2,"male","single","individual",4,"no collateral",42,"no debt","free use",1,"skilled",2,"no","yes","good"
"more than or = 200",9,"delayed","radio/tv",1126,"less than 100","more than 7 years",2,"male","divorced","individual",4,"real estate",49,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",24,"dully paid","radio/tv",1216,"less than 100","less than 1 year",4,"male","single","individual",4,"no collateral",38,"bank debt","owned",2,"skilled",2,"no","yes","bad"
"negative",24,"delayed","new car",1207,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"life insurance",24,"no debt","rented",1,"skilled",1,"no","yes","bad"
"no checking",10,"delayed","new car",1309,"between 100 and 499","less than 4 years",4,"male","single","guaranteed",4,"life insurance",27,"no debt","owned",1,"unskilled res",1,"no","yes","bad"
"more than or = 200",15,"dully paid","used car",2360,"more than or = 1000","less than 4 years",2,"male","single","individual",2,"vehicle",36,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",15,"no credits","new car",6850,"less than 100","unemployed",1,"male","single","individual",2,"life insurance",34,"no debt","owned",1,"highly qualified",2,"yes","yes","bad"
"no checking",24,"delayed","radio/tv",1413,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",2,"life insurance",28,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",39,"delayed","used car",8588,"less than 100","more than 7 years",4,"male","single","individual",2,"vehicle",45,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"negative",12,"delayed","new car",759,"between 500 and 999","less than 7 years",4,"male","single","individual",2,"real estate",26,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",36,"delayed","used car",4686,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"no collateral",32,"no debt","free use",1,"highly qualified",1,"yes","yes","good"
"more than or = 200",15,"delayed","business",2687,"between 500 and 999","less than 7 years",2,"male","single","individual",4,"life insurance",26,"no debt","rented",1,"skilled",1,"yes","yes","good"
"less than 200",12,"critical","radio/tv",585,"between 500 and 999","less than 4 years",4,"male","married/widowed","co-aplicant",4,"real estate",20,"no debt","rented",2,"skilled",1,"no","yes","good"
"no checking",24,"delayed","new car",2255,"between 100 and 499","less than 1 year",4,"male","single","individual",1,"life insurance",54,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",6,"dully paid","new car",609,"between 500 and 999","less than 7 years",4,"female","unspecified","individual",3,"life insurance",37,"no debt","owned",2,"skilled",1,"no","no","good"
"negative",6,"dully paid","new car",1361,"between 500 and 999","less than 1 year",2,"male","single","individual",4,"real estate",40,"no debt","owned",1,"unskilled res",2,"no","no","good"
"no checking",36,"dully paid","furniture/equipment",7127,"between 500 and 999","less than 1 year",2,"female","unspecified","individual",4,"life insurance",23,"no debt","rented",2,"skilled",1,"yes","yes","bad"
"negative",6,"delayed","new car",1203,"less than 100","more than 7 years",3,"male","single","individual",2,"life insurance",43,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",6,"dully paid","radio/tv",700,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"no collateral",36,"no debt","free use",2,"skilled",1,"no","yes","good"
"no checking",24,"dully paid","repairs",5507,"between 500 and 999","more than 7 years",3,"male","single","individual",4,"no collateral",44,"no debt","free use",2,"skilled",1,"no","yes","good"
"negative",18,"delayed","radio/tv",3190,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",2,"real estate",24,"no debt","owned",1,"skilled",1,"no","yes","bad"
"negative",48,"duly paying","furniture/equipment",7119,"between 500 and 999","less than 4 years",3,"male","single","individual",4,"no collateral",53,"no debt","free use",2,"skilled",2,"no","yes","bad"
"no checking",24,"delayed","used car",3488,"less than 100","less than 7 years",3,"female","unspecified","individual",4,"vehicle",23,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",18,"delayed","radio/tv",1113,"between 500 and 999","less than 4 years",4,"female","unspecified","guaranteed",4,"real estate",26,"no debt","owned",1,"unskilled res",2,"no","yes","good"
"less than 200",26,"delayed","used car",7966,"between 500 and 999","less than 1 year",2,"male","single","individual",3,"vehicle",30,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",15,"dully paid","education",1532,"less than 100","less than 4 years",4,"female","unspecified","individual",3,"vehicle",31,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",4,"dully paid","radio/tv",1503,"between 500 and 999","less than 7 years",2,"male","single","individual",1,"real estate",42,"no debt","owned",2,"unskilled res",2,"no","yes","good"
"negative",36,"delayed","radio/tv",2302,"between 500 and 999","less than 4 years",4,"male","divorced","individual",4,"vehicle",31,"no debt","rented",1,"skilled",1,"no","yes","bad"
"negative",6,"delayed","new car",662,"between 500 and 999","less than 1 year",3,"male","single","individual",4,"real estate",41,"no debt","owned",1,"unskilled res",2,"yes","yes","good"
"less than 200",36,"delayed","education",2273,"between 500 and 999","less than 7 years",3,"male","single","individual",1,"vehicle",32,"no debt","owned",2,"skilled",2,"no","yes","good"
"less than 200",15,"delayed","new car",2631,"less than 100","less than 4 years",2,"female","unspecified","individual",4,"vehicle",28,"no debt","rented",2,"skilled",1,"yes","yes","bad"
"no checking",12,"critical","used car",1503,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",4,"real estate",41,"no debt","rented",1,"skilled",1,"no","yes","good"
"no checking",24,"delayed","radio/tv",1311,"less than 100","less than 7 years",4,"male","married/widowed","individual",3,"life insurance",26,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",24,"delayed","radio/tv",3105,"between 100 and 499","less than 1 year",4,"male","single","individual",2,"vehicle",25,"no debt","owned",2,"skilled",1,"no","yes","good"
"more than or = 200",21,"dully paid","education",2319,"between 500 and 999","less than 1 year",2,"male","divorced","individual",1,"vehicle",33,"no debt","rented",1,"skilled",1,"no","yes","bad"
"negative",6,"delayed","new car",1374,"between 100 and 499","unemployed",4,"female","unspecified","individual",3,"life insurance",75,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"less than 200",18,"dully paid","furniture/equipment",3612,"between 500 and 999","more than 7 years",3,"female","unspecified","individual",4,"life insurance",37,"no debt","owned",1,"skilled",1,"yes","yes","good"
"negative",48,"delayed","new car",7763,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",42,"bank debt","free use",1,"highly qualified",1,"no","yes","bad"
"more than or = 200",18,"delayed","furniture/equipment",3049,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",1,"life insurance",45,"purchase debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",12,"delayed","radio/tv",1534,"between 500 and 999","less than 1 year",1,"male","married/widowed","individual",1,"real estate",23,"no debt","rented",1,"skilled",1,"no","yes","bad"
"no checking",24,"critical","new car",2032,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",60,"no debt","free use",2,"skilled",1,"yes","yes","good"
"negative",30,"delayed","furniture/equipment",6350,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"life insurance",31,"no debt","owned",1,"skilled",1,"no","yes","bad"
"more than or = 200",18,"delayed","furniture/equipment",2864,"between 500 and 999","less than 4 years",2,"male","single","individual",1,"real estate",34,"no debt","owned",1,"unskilled res",2,"no","yes","bad"
"no checking",12,"dully paid","new car",1255,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"real estate",61,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"negative",24,"critical","new car",1333,"between 500 and 999","unemployed",4,"male","single","individual",2,"real estate",43,"no debt","free use",2,"skilled",2,"no","yes","bad"
"no checking",24,"dully paid","new car",2022,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",4,"vehicle",37,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",24,"delayed","radio/tv",1552,"between 500 and 999","less than 7 years",3,"male","single","individual",1,"vehicle",32,"bank debt","owned",1,"skilled",2,"no","yes","good"
"negative",12,"no credits","radio/tv",626,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",4,"real estate",24,"bank debt","owned",1,"unskilled res",1,"no","yes","bad"
"no checking",48,"dully paid","used car",8858,"between 100 and 499","less than 7 years",2,"male","single","individual",1,"no collateral",35,"no debt","free use",2,"skilled",1,"yes","yes","good"
"no checking",12,"dully paid","repairs",996,"between 100 and 499","less than 7 years",4,"female","unspecified","individual",4,"real estate",23,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",6,"no credits","radio/tv",1750,"more than or = 1000","more than 7 years",2,"male","single","individual",4,"life insurance",45,"bank debt","owned",1,"unskilled res",2,"no","yes","good"
"negative",48,"delayed","radio/tv",6999,"between 500 and 999","less than 7 years",1,"male","married/widowed","guaranteed",1,"real estate",34,"no debt","owned",2,"skilled",1,"yes","yes","bad"
"less than 200",12,"dully paid","new car",1995,"less than 100","less than 1 year",4,"male","single","individual",1,"vehicle",27,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",9,"delayed","education",1199,"between 500 and 999","less than 7 years",4,"female","unspecified","individual",4,"life insurance",67,"no debt","owned",2,"highly qualified",1,"yes","yes","good"
"less than 200",12,"delayed","radio/tv",1331,"between 500 and 999","less than 1 year",2,"male","single","individual",1,"vehicle",22,"purchase debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",18,"duly paying","new car",2278,"less than 100","less than 1 year",3,"female","unspecified","individual",3,"vehicle",28,"no debt","owned",2,"skilled",1,"no","yes","bad"
"no checking",21,"duly paying","new car",5003,"between 100 and 499","less than 4 years",1,"female","unspecified","individual",4,"life insurance",29,"bank debt","owned",2,"skilled",1,"yes","yes","bad"
"negative",24,"no credits","furniture/equipment",3552,"between 500 and 999","less than 7 years",3,"male","single","individual",4,"vehicle",27,"bank debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",18,"dully paid","furniture/equipment",1928,"between 500 and 999","less than 1 year",2,"male","single","individual",2,"real estate",31,"no debt","owned",2,"unskilled res",1,"no","yes","bad"
"negative",24,"delayed","used car",2964,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"no collateral",49,"bank debt","free use",1,"skilled",2,"yes","yes","good"
"negative",24,"no credits","radio/tv",1546,"between 500 and 999","less than 7 years",4,"male","single","guaranteed",4,"vehicle",24,"bank debt","rented",1,"unskilled res",1,"no","yes","bad"
"more than or = 200",6,"critical","radio/tv",683,"between 500 and 999","less than 1 year",2,"female","unspecified","individual",1,"life insurance",29,"bank debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",36,"delayed","new car",12389,"between 100 and 499","less than 4 years",1,"male","single","individual",4,"no collateral",37,"no debt","free use",1,"skilled",1,"yes","yes","bad"
"less than 200",24,"critical","business",4712,"between 100 and 499","less than 4 years",4,"male","single","individual",2,"life insurance",37,"bank debt","owned",2,"highly qualified",1,"yes","yes","good"
"less than 200",24,"critical","radio/tv",1553,"less than 100","less than 7 years",3,"female","unspecified","individual",2,"life insurance",23,"no debt","rented",2,"skilled",1,"yes","yes","good"
"negative",12,"delayed","new car",1372,"between 500 and 999","less than 7 years",2,"male","divorced","individual",3,"vehicle",36,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",24,"dully paid","radio/tv",2578,"no savingss","more than 7 years",2,"male","single","individual",2,"vehicle",34,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",48,"delayed","radio/tv",3979,"between 100 and 499","less than 7 years",4,"male","single","individual",1,"vehicle",41,"no debt","owned",2,"skilled",2,"yes","yes","good"
"negative",48,"delayed","radio/tv",6758,"between 500 and 999","less than 4 years",3,"female","unspecified","individual",2,"vehicle",31,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"negative",24,"delayed","furniture/equipment",3234,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"real estate",23,"no debt","rented",1,"unskilled res",1,"yes","yes","bad"
"no checking",30,"dully paid","radio/tv",5954,"between 500 and 999","less than 7 years",3,"male","single","co-aplicant",2,"vehicle",38,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",24,"delayed","used car",5433,"between 100 and 499","unemployed",2,"female","unspecified","individual",4,"life insurance",26,"no debt","rented",1,"highly qualified",1,"yes","yes","good"
"negative",15,"delayed","business",806,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",4,"life insurance",22,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",9,"delayed","radio/tv",1082,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",27,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"no checking",15,"dully paid","furniture/equipment",2788,"between 500 and 999","less than 7 years",2,"female","unspecified","co-aplicant",3,"vehicle",24,"bank debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","radio/tv",2930,"between 500 and 999","less than 7 years",2,"female","unspecified","individual",1,"real estate",27,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",24,"dully paid","education",1927,"between 100 and 499","less than 4 years",3,"female","unspecified","individual",2,"vehicle",33,"no debt","owned",2,"skilled",1,"yes","yes","good"
"less than 200",36,"dully paid","new car",2820,"between 500 and 999","less than 1 year",4,"male","divorced","individual",4,"vehicle",27,"no debt","owned",2,"skilled",1,"no","yes","bad"
"no checking",24,"delayed","retraining",937,"between 500 and 999","less than 1 year",4,"male","married/widowed","individual",3,"vehicle",27,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"less than 200",18,"dully paid","new car",1056,"between 500 and 999","more than 7 years",3,"male","single","guaranteed",3,"real estate",30,"bank debt","owned",2,"skilled",1,"no","yes","bad"
"less than 200",12,"dully paid","new car",3124,"between 500 and 999","less than 1 year",1,"male","single","individual",3,"real estate",49,"bank debt","owned",2,"unskilled res",2,"no","yes","good"
"no checking",9,"delayed","furniture/equipment",1388,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",2,"real estate",26,"no debt","rented",1,"skilled",1,"no","yes","good"
"less than 200",36,"delayed","repairs",2384,"between 500 and 999","less than 1 year",4,"male","single","individual",1,"no collateral",33,"no debt","rented",1,"unskilled res",1,"no","yes","bad"
"no checking",12,"delayed","new car",2133,"between 100 and 499","more than 7 years",4,"female","unspecified","individual",4,"no collateral",52,"no debt","free use",1,"highly qualified",1,"yes","yes","good"
"negative",18,"delayed","furniture/equipment",2039,"between 500 and 999","less than 4 years",1,"female","unspecified","individual",4,"real estate",20,"bank debt","rented",1,"skilled",1,"no","yes","bad"
"negative",9,"dully paid","new car",2799,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"real estate",36,"no debt","rented",2,"skilled",2,"no","yes","good"
"negative",12,"delayed","furniture/equipment",1289,"between 500 and 999","less than 4 years",4,"male","single","guaranteed",1,"life insurance",21,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"negative",18,"delayed","domestic appliance",1217,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",3,"real estate",47,"no debt","owned",1,"unskilled res",1,"yes","yes","bad"
"negative",12,"dully paid","furniture/equipment",2246,"between 500 and 999","more than 7 years",3,"male","single","individual",3,"life insurance",60,"no debt","owned",2,"skilled",1,"no","yes","bad"
"negative",12,"dully paid","radio/tv",385,"between 500 and 999","less than 7 years",4,"female","unspecified","individual",3,"real estate",58,"no debt","owned",4,"unskilled res",1,"yes","yes","good"
"less than 200",24,"critical","new car",1965,"between 100 and 499","less than 4 years",4,"female","unspecified","individual",4,"vehicle",42,"no debt","rented",2,"skilled",1,"yes","yes","good"
"no checking",21,"delayed","business",1572,"no savingss","more than 7 years",4,"female","unspecified","individual",4,"real estate",36,"bank debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",24,"delayed","new car",2718,"between 500 and 999","less than 4 years",3,"female","unspecified","individual",4,"life insurance",20,"no debt","rented",1,"unskilled res",1,"yes","yes","bad"
"negative",24,"no credits","other",1358,"between 100 and 499","more than 7 years",4,"male","single","individual",3,"vehicle",40,"purchase debt","owned",1,"highly qualified",1,"yes","yes","bad"
"less than 200",6,"no credits","new car",931,"less than 100","less than 1 year",1,"female","unspecified","individual",1,"life insurance",32,"purchase debt","owned",1,"unskilled res",1,"no","yes","bad"
"negative",24,"delayed","new car",1442,"between 500 and 999","less than 7 years",4,"female","unspecified","individual",4,"vehicle",23,"no debt","rented",2,"skilled",1,"no","yes","bad"
"less than 200",24,"duly paying","business",4241,"between 500 and 999","less than 4 years",1,"male","single","individual",4,"real estate",36,"no debt","owned",3,"unskilled res",1,"yes","yes","bad"
"no checking",18,"dully paid","new car",2775,"between 500 and 999","less than 7 years",2,"male","single","individual",2,"life insurance",31,"bank debt","owned",2,"skilled",1,"no","yes","bad"
"no checking",24,"critical","business",3863,"between 500 and 999","less than 4 years",1,"male","single","individual",2,"no collateral",32,"no debt","free use",1,"skilled",1,"no","yes","good"
"less than 200",7,"delayed","radio/tv",2329,"between 500 and 999","less than 1 year",1,"female","unspecified","guaranteed",1,"real estate",45,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",9,"delayed","furniture/equipment",918,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",1,"life insurance",30,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",24,"no credits","education",1837,"between 500 and 999","less than 7 years",4,"female","unspecified","individual",4,"no collateral",34,"bank debt","free use",1,"unskilled res",1,"no","yes","bad"
"no checking",36,"delayed","furniture/equipment",3349,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",2,"vehicle",28,"no debt","owned",1,"highly qualified",1,"yes","yes","bad"
"more than or = 200",10,"delayed","furniture/equipment",1275,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",2,"life insurance",23,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",24,"no credits","furniture/equipment",2828,"more than or = 1000","less than 4 years",4,"male","single","individual",4,"real estate",22,"purchase debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",24,"dully paid","business",4526,"between 500 and 999","less than 4 years",3,"male","single","individual",2,"real estate",74,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"less than 200",36,"delayed","radio/tv",2671,"less than 100","less than 4 years",4,"female","unspecified","co-aplicant",4,"no collateral",50,"no debt","free use",1,"skilled",1,"no","yes","bad"
"no checking",18,"delayed","radio/tv",2051,"between 500 and 999","less than 1 year",4,"male","single","individual",1,"real estate",33,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",15,"delayed","used car",1300,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"no collateral",45,"bank debt","free use",1,"skilled",2,"no","yes","good"
"negative",12,"delayed","domestic appliance",741,"less than 100","unemployed",4,"female","unspecified","individual",3,"life insurance",22,"no debt","owned",1,"skilled",1,"no","yes","bad"
"more than or = 200",10,"delayed","new car",1240,"less than 100","more than 7 years",1,"female","unspecified","individual",4,"no collateral",48,"no debt","free use",1,"unskilled res",2,"no","yes","bad"
"negative",21,"delayed","radio/tv",3357,"no savingss","less than 1 year",4,"female","unspecified","individual",2,"vehicle",29,"bank debt","owned",1,"skilled",1,"no","yes","good"
"negative",24,"no credits","used car",3632,"between 500 and 999","less than 4 years",1,"female","unspecified","guaranteed",4,"vehicle",22,"bank debt","rented",1,"skilled",1,"no","no","good"
"no checking",18,"critical","furniture/equipment",1808,"between 500 and 999","less than 7 years",4,"female","unspecified","individual",1,"real estate",22,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",48,"duly paying","business",12204,"between 100 and 499","less than 4 years",2,"male","single","individual",2,"vehicle",48,"bank debt","owned",1,"highly qualified",1,"yes","yes","good"
"less than 200",60,"critical","radio/tv",9157,"between 100 and 499","less than 4 years",2,"male","single","individual",2,"no collateral",27,"no debt","free use",1,"highly qualified",1,"no","yes","good"
"negative",6,"dully paid","new car",3676,"between 500 and 999","less than 4 years",1,"male","single","individual",3,"real estate",37,"no debt","rented",3,"skilled",2,"no","yes","good"
"less than 200",30,"delayed","furniture/equipment",3441,"less than 100","less than 4 years",2,"female","unspecified","co-aplicant",4,"vehicle",21,"no debt","rented",1,"skilled",1,"no","yes","bad"
"no checking",12,"delayed","new car",640,"between 500 and 999","less than 4 years",4,"male","divorced","individual",2,"real estate",49,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",21,"dully paid","business",3652,"between 500 and 999","less than 7 years",2,"male","single","individual",3,"life insurance",27,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",18,"dully paid","new car",1530,"between 500 and 999","less than 4 years",3,"male","single","individual",2,"life insurance",32,"bank debt","owned",2,"skilled",1,"no","yes","bad"
"no checking",48,"delayed","business",3914,"between 100 and 499","less than 4 years",4,"male","divorced","individual",2,"real estate",38,"bank debt","owned",1,"skilled",1,"no","yes","bad"
"negative",12,"delayed","furniture/equipment",1858,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"vehicle",22,"no debt","rented",1,"skilled",1,"no","yes","good"
"negative",18,"delayed","radio/tv",2600,"between 500 and 999","less than 4 years",4,"male","single","individual",4,"no collateral",65,"no debt","free use",2,"skilled",1,"no","yes","bad"
"no checking",15,"delayed","radio/tv",1979,"between 100 and 499","more than 7 years",4,"male","single","individual",2,"vehicle",35,"no debt","owned",1,"skilled",1,"no","yes","good"
"more than or = 200",6,"delayed","furniture/equipment",2116,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"real estate",41,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",9,"no credits","new car",1437,"less than 100","less than 7 years",2,"male","single","individual",3,"no collateral",29,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",42,"dully paid","furniture/equipment",4042,"more than or = 1000","less than 4 years",4,"male","single","individual",4,"real estate",36,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",9,"delayed","education",3832,"between 100 and 499","more than 7 years",1,"male","single","individual",4,"real estate",64,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"negative",24,"delayed","radio/tv",3660,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",4,"vehicle",28,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",18,"no credits","furniture/equipment",1553,"between 500 and 999","less than 4 years",4,"male","single","individual",3,"vehicle",44,"bank debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",15,"delayed","radio/tv",1444,"between 100 and 499","less than 1 year",4,"male","single","individual",1,"life insurance",23,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",9,"delayed","furniture/equipment",1980,"between 500 and 999","less than 1 year",2,"female","unspecified","co-aplicant",2,"vehicle",19,"no debt","rented",2,"skilled",1,"no","yes","bad"
"less than 200",24,"delayed","new car",1355,"between 500 and 999","less than 1 year",3,"female","unspecified","individual",4,"vehicle",25,"no debt","owned",1,"unskilled res",1,"yes","yes","bad"
"no checking",12,"delayed","education",1393,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"life insurance",47,"bank debt","owned",3,"skilled",2,"yes","yes","good"
"no checking",24,"delayed","radio/tv",1376,"more than or = 1000","less than 7 years",4,"female","unspecified","individual",1,"vehicle",28,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",60,"critical","radio/tv",15653,"between 500 and 999","less than 7 years",2,"male","single","individual",4,"vehicle",21,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",12,"delayed","radio/tv",1493,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",3,"vehicle",34,"no debt","owned",1,"skilled",2,"no","yes","good"
"negative",42,"critical","radio/tv",4370,"between 500 and 999","less than 7 years",3,"male","single","individual",2,"life insurance",26,"bank debt","owned",2,"skilled",2,"yes","yes","bad"
"negative",18,"delayed","education",750,"between 500 and 999","unemployed",4,"female","unspecified","individual",1,"real estate",27,"no debt","owned",1,"unskilled non-res",1,"no","yes","bad"
"less than 200",15,"delayed","repairs",1308,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",38,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"no checking",15,"delayed","education",4623,"less than 100","less than 4 years",3,"male","single","individual",2,"life insurance",40,"no debt","owned",1,"highly qualified",1,"yes","yes","bad"
"no checking",24,"dully paid","radio/tv",1851,"between 500 and 999","less than 7 years",4,"male","married/widowed","guaranteed",2,"vehicle",33,"no debt","owned",2,"skilled",1,"yes","yes","good"
"negative",18,"dully paid","radio/tv",1880,"between 500 and 999","less than 7 years",4,"male","married/widowed","individual",1,"life insurance",32,"no debt","owned",2,"highly qualified",1,"yes","yes","good"
"no checking",36,"critical","business",7980,"between 100 and 499","less than 1 year",4,"male","single","individual",4,"vehicle",27,"no debt","rented",2,"skilled",1,"yes","yes","bad"
"negative",30,"duly paying","furniture/equipment",4583,"between 500 and 999","less than 4 years",2,"male","divorced","guaranteed",2,"real estate",32,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",12,"delayed","new car",1386,"more than or = 1000","less than 4 years",2,"female","unspecified","individual",2,"life insurance",26,"no debt","owned",1,"skilled",1,"no","yes","bad"
"more than or = 200",24,"delayed","new car",947,"between 500 and 999","less than 7 years",4,"male","single","individual",3,"no collateral",38,"bank debt","free use",1,"skilled",2,"no","yes","bad"
"negative",12,"delayed","education",684,"between 500 and 999","less than 4 years",4,"male","single","individual",4,"vehicle",40,"no debt","rented",1,"unskilled res",2,"no","yes","bad"
"negative",48,"delayed","education",7476,"between 500 and 999","less than 7 years",4,"male","single","individual",1,"no collateral",50,"no debt","free use",1,"highly qualified",1,"yes","yes","good"
"less than 200",12,"delayed","furniture/equipment",1922,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"life insurance",37,"no debt","owned",1,"unskilled res",1,"no","yes","bad"
"negative",24,"delayed","new car",2303,"between 500 and 999","more than 7 years",4,"male","single","co-aplicant",1,"real estate",45,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",36,"critical","new car",8086,"less than 100","more than 7 years",2,"male","single","individual",4,"vehicle",42,"no debt","owned",4,"highly qualified",1,"yes","yes","bad"
